name,title,department,salary
"MILLER, JOSEPH K",Operations Executive,OPERATIONS,61500
"MOORE, EDWARD L",Research Analyst,RESEARCH,76000
"MORGAN, STEVEN D",Legal Advisor,LEGAL,110000
"NELSON, PATRICK W",Administrative Assistant,ADMINISTRATION,49500
"PARKER, DONALD M",Executive Assistant,ADMINISTRATION,74000
"PEREZ, CARLOS J",Graphic Designer,CREATIVE SERVICES,61000
"PETERSON, ERIC L",Content Specialist,COMMUNICATIONS,68000
"PHILLIPS, ROGER A",Software Engineer,INFORMATION TECHNOLOGY,90000
"REED, JASON T",Senior Software Engineer,INFORMATION TECHNOLOGY,120000
"RICHARDSON, SAMUEL K",Data Analyst,FINANCE,67500
"RIVERA, MARIO P",Senior Data Analyst,FINANCE,101000
"ROBERTS, JONATHAN D",Project Manager,ADMINISTRATION,110000
"ROBINSON, FRANK L",HR Manager,HUMAN RESOURCES,89500
"ROSS, TIMOTHY R",HR Executive,HUMAN RESOURCES,68000
"RUSSELL, GARY M",Accountant,FINANCE,73000
"SANDERS, BRIAN J",Senior Accountant,FINANCE,85500
"SCOTT, JUSTIN P",Civil Engineer,ENGINEERING,79500
"SIMMONS, RONALD T",Electrical Engineer,ENGINEERING,87500
"SMITH, WALTER K",Mechanical Engineer,ENGINEERING,85500
"STEWART, RYAN L",Marketing Executive,MARKETING,62000
"TAYLOR, KEITH J",Marketing Manager,MARKETING,95000
"THOMAS, ALBERT M",Sales Executive,SALES,63000
"THOMPSON, CRAIG R",Sales Manager,SALES,90000
"TURNER, BENJAMIN D",Customer Service Representative,CUSTOMER SERVICE,51500
"WALKER, NICHOLAS P",Operations Manager,OPERATIONS,100000
"WARD, JEREMY L",Operations Executive,OPERATIONS,64000
"WATSON, HENRY K",Research Analyst,RESEARCH,83500
"WILLIAMS, ERIC J",Legal Advisor,LEGAL,117500
"WILSON, PETER R",Administrative Assistant,ADMINISTRATION,59500
"WOOD, ADAM T",Executive Assistant,ADMINISTRATION,64500
"WRIGHT, JOSHUA M",Graphic Designer,CREATIVE SERVICES,58500
"YOUNG, CHRISTOPHER L",Content Specialist,COMMUNICATIONS,70500
"PATEL, ARJUN K",Software Engineer,INFORMATION TECHNOLOGY,80500
"SHARMA, ROHAN M",Senior Software Engineer,INFORMATION TECHNOLOGY,122500
"KUMAR, ADITYA S",Data Analyst,FINANCE,72000
"SINGH, RAHUL P",Senior Data Analyst,FINANCE,99500
"GUPTA, AMAN R",Project Manager,ADMINISTRATION,105000
"MEHTA, VIKAS J",HR Manager,HUMAN RESOURCES,87500
"VERMA, NIKHIL T",HR Executive,HUMAN RESOURCES,62500
"MALHOTRA, KUNAL D",Accountant,FINANCE,71000
"AGARWAL, RISHABH P",Senior Accountant,FINANCE,93000
"JAIN, ANKIT M",Civil Engineer,ENGINEERING,82000
"KHAN, ARMAN S",Electrical Engineer,ENGINEERING,83500
"AARON, ELVIA J",Mechanical Engineer,ENGINEERING,89000
"AARON, JEFFREY M",Marketing Executive,MARKETING,63500
"ABAD JR, VICENTE M",Marketing Manager,MARKETING,91500
"ADAMS, ROBERT L",Sales Executive,SALES,63000
"ANDERSON, MICHAEL J",Sales Manager,SALES,88500
"BAKER, CHRISTOPHER R",Customer Service Representative,CUSTOMER SERVICE,51500
"BROWN, DANIEL K",Operations Manager,OPERATIONS,95000
"CARTER, JAMES W",Operations Executive,OPERATIONS,61500
"CLARK, WILLIAM T",Research Analyst,RESEARCH,73500
"DAVIS, MATTHEW P",Legal Advisor,LEGAL,115000
"EDWARDS, ANTHONY R",Administrative Assistant,ADMINISTRATION,55000
"EVANS, CHARLES D",Executive Assistant,ADMINISTRATION,72000
"FOSTER, STEPHEN M",Graphic Designer,CREATIVE SERVICES,61000
"GARCIA, JOSEPH A",Content Specialist,COMMUNICATIONS,68000
"GOMEZ, RICHARD L",Software Engineer,INFORMATION TECHNOLOGY,88000
"HARRIS, THOMAS J",Senior Software Engineer,INFORMATION TECHNOLOGY,116500
"HAYES, KEVIN R",Data Analyst,FINANCE,75000
"HENDERSON, MARK P",Senior Data Analyst,FINANCE,99500
"JACKSON, DAVID S",Project Manager,ADMINISTRATION,105000
"JOHNSON, JAMES A",HR Manager,HUMAN RESOURCES,89500
"KELLY, BRIAN T",HR Executive,HUMAN RESOURCES,62500
"KING, RONALD M",Accountant,FINANCE,71000
"LEE, ANDREW J",Senior Accountant,FINANCE,89500
"LEWIS, DANIEL P",Civil Engineer,ENGINEERING,77500
"MARTIN, GEORGE R",Electrical Engineer,ENGINEERING,93500
"MILLER, JOSEPH K",Mechanical Engineer,ENGINEERING,79500
"MOORE, EDWARD L",Marketing Executive,MARKETING,69500
"MORGAN, STEVEN D",Marketing Manager,MARKETING,85500
"NELSON, PATRICK W",Sales Executive,SALES,55500
"PARKER, DONALD M",Sales Manager,SALES,92000
"PEREZ, CARLOS J",Customer Service Representative,CUSTOMER SERVICE,51500
"PETERSON, ERIC L",Operations Manager,OPERATIONS,102500
"PHILLIPS, ROGER A",Operations Executive,OPERATIONS,69000
"REED, JASON T",Research Analyst,RESEARCH,77500
"RICHARDSON, SAMUEL K",Legal Advisor,LEGAL,113000
"RIVERA, MARIO P",Administrative Assistant,ADMINISTRATION,47500
"ROBERTS, JONATHAN D",Executive Assistant,ADMINISTRATION,70500
"ROBINSON, FRANK L",Graphic Designer,CREATIVE SERVICES,62500
"ROSS, TIMOTHY R",Content Specialist,COMMUNICATIONS,66000
"RUSSELL, GARY M",Software Engineer,INFORMATION TECHNOLOGY,86500
"SANDERS, BRIAN J",Senior Software Engineer,INFORMATION TECHNOLOGY,118000
"SCOTT, JUSTIN P",Data Analyst,FINANCE,72000
"SIMMONS, RONALD T",Senior Data Analyst,FINANCE,101000
"SMITH, WALTER K",Project Manager,ADMINISTRATION,112500
"STEWART, RYAN L",HR Manager,HUMAN RESOURCES,87500
"TAYLOR, KEITH J",HR Executive,HUMAN RESOURCES,70000
"THOMAS, ALBERT M",Accountant,FINANCE,73000
"THOMPSON, CRAIG R",Senior Accountant,FINANCE,83500
"TURNER, BENJAMIN D",Civil Engineer,ENGINEERING,87000
"WALKER, NICHOLAS P",Electrical Engineer,ENGINEERING,89000
"WARD, JEREMY L",Mechanical Engineer,ENGINEERING,91500
"WATSON, HENRY K",Marketing Executive,MARKETING,62000
"WILLIAMS, ERIC J",Marketing Manager,MARKETING,97500
"WILSON, PETER R",Sales Executive,SALES,63000
"WOOD, ADAM T",Sales Manager,SALES,87000
"WRIGHT, JOSHUA M",Customer Service Representative,CUSTOMER SERVICE,49500
"YOUNG, CHRISTOPHER L",Operations Manager,OPERATIONS,95000
"PATEL, ARJUN K",Operations Executive,OPERATIONS,65500
"SHARMA, ROHAN M",Research Analyst,RESEARCH,73500
"KUMAR, ADITYA S",Legal Advisor,LEGAL,111500
"SINGH, RAHUL P",Administrative Assistant,ADMINISTRATION,47500
"GUPTA, AMAN R",Executive Assistant,ADMINISTRATION,74000
"MEHTA, VIKAS J",Graphic Designer,CREATIVE SERVICES,66000
"VERMA, NIKHIL T",Content Specialist,COMMUNICATIONS,63000
